,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
597309,2020-01-11 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,106,25,306
468974,2020-01-11 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,86,27,289
4948,2020-01-11 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,87,22,252
175979,2020-01-11 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,97,25,262
352130,2020-01-11 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,98,28,263
432125,2020-01-11 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,63,19,226
1128803,2020-01-11 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,67,19,202
1296558,2020-01-11 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,67,21,238
923102,2020-01-11 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,99,35,249
27519,2020-01-11 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,106,47,299
232597,2020-01-11 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,128,34,275
331052,2020-01-11 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,45,232
1097083,2020-01-12 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,101,35,224
384601,2020-01-12 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,129,48,152
264797,2020-01-12 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,151,49,121
186799,2020-01-12 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,141,49,78
369501,2020-01-12 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,139,59,62
674644,2020-01-12 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,156,67,117
1095181,2020-01-12 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,112,57,153
35938,2020-01-12 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,55,173
931771,2020-01-12 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,120,46,169
1031167,2020-01-12 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,128,52,223
929559,2020-01-12 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,118,48,237
58865,2020-01-12 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,130,49,238
1143973,2020-01-12 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,98,40,233
724965,2020-01-12 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,103,32,266
1217397,2020-01-12 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,108,28,206
151918,2020-01-12 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,98,25,206
982507,2020-01-12 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,27,267
797297,2020-01-12 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,30,211
204225,2020-01-12 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,119,43,225
523347,2020-01-12 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,50,215
445659,2020-01-12 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,49,233
463327,2020-01-12 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,106,52,251
776511,2020-01-12 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,116,52,210
498454,2020-01-12 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,115,42,232
859692,2020-01-13 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,153,51,148
